"","ResultMeasure2","STRAHLER2","DrainageAreaMeasure_MeasureValue","HUCEightDigitCode","date","ResultSampleFractionText","PFOR2","PWETL2","PURB2","PAGT2","LatitudeMeasure","LongitudeMeasure","MonitoringLocationIdentifier"
"1074",0,2,89.5,14010001,"2008-05-25T00:00:00Z","Dissolved",46.08,0,0,0.25,39.833875,-106.0564079,"USGS-09036000"
"1075",0,5,3503,15060202,"2004-04-29T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1076",0.01,5,3503,15060202,"2016-12-20T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1077",0.01,5,3503,15060202,"2016-03-23T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1078",0.02,5,3503,15060202,"2015-05-12T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1079",0.01,5,3503,15060202,"2004-09-09T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1080",0.03,5,3503,15060202,"2004-12-08T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1081",0,5,3503,15060202,"2012-12-06T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1082",0.02,5,3503,15060202,"2009-02-12T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1083",0.03,5,3503,15060202,"2008-05-20T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1084",0.03,5,3503,15060202,"2004-06-24T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1085",0.02,5,3503,15060202,"2011-05-10T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1086",0.01,5,3503,15060202,"2007-12-06T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1087",0.15,5,3503,15060202,"2009-08-06T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1088",0.01,5,3503,15060202,"2009-12-09T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1089",0.02,5,3503,15060202,"2010-08-25T00:00:00Z","Total",57.65,0.026666667,0.506666667,0.11,34.8522416,-112.065994,"USGS-09504000"
"1090",0.01,2,270,14010001,"2010-01-21T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1091",0.006,2,270,14010001,"2010-01-21T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1092",0.009,2,270,14010001,"2010-03-16T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1093",0.005,2,270,14010001,"2010-03-16T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1094",0.014,2,270,14010001,"2010-04-21T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1095",0.006,2,270,14010001,"2010-04-21T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1096",0.006,2,270,14010001,"2012-02-16T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1097",0.012,2,270,14010001,"2010-07-14T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1098",0.009,2,270,14010001,"2009-04-21T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1099",0.018,2,270,14010001,"2007-05-17T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1100",0.013,2,270,14010001,"2007-04-04T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1101",0.032,2,270,14010001,"2007-04-04T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1102",0.012,2,270,14010001,"2010-02-17T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1103",0.006,2,270,14010001,"2010-02-17T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1104",0.023,2,270,14010001,"2011-07-19T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1105",0.01,2,270,14010001,"2011-07-19T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1106",0.017,2,270,14010001,"2011-04-04T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1107",0.007,2,25.6,14010001,"2001-05-22T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1108",0.019,2,25.6,14010001,"2001-05-22T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1109",0.006,2,25.6,14010001,"2001-07-17T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1110",0.008,2,25.6,14010001,"2001-07-17T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1111",0.004,2,25.6,14010001,"2001-08-21T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1112",0.006,2,25.6,14010001,"2001-08-21T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1113",0.003,2,25.6,14010001,"2001-12-18T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1114",0.009,2,25.6,14010001,"2001-12-18T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1115",0,2,25.6,14010001,"2001-10-23T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1116",0.011,2,25.6,14010001,"2001-10-23T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1117",0.005,2,25.6,14010001,"2001-04-19T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1118",0.022,2,25.6,14010001,"2001-04-19T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1119",0.009,2,25.6,14010001,"2001-06-13T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1120",0.025,2,25.6,14010001,"2001-06-13T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1121",0.003,2,25.6,14010001,"2001-02-14T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1122",0.04,2,25.6,14010001,"2011-06-07T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1123",0.003,2,25.6,14010001,"2005-11-01T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1124",0.009,2,25.6,14010001,"2005-11-01T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1125",0.003,2,25.6,14010001,"2007-03-20T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1126",0,4,331,15060203,"2000-01-26T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1127",0,4,331,15060203,"2003-03-25T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1128",0,4,331,15060203,"2002-10-29T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1129",0,4,331,15060203,"2002-03-26T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1130",0,4,331,15060203,"2000-05-30T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1131",0,4,331,15060203,"2003-08-27T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1132",0,4,331,15060203,"2002-06-26T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1133",0.04,4,331,15060203,"2002-08-28T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1134",0,4,331,15060203,"2000-09-27T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1135",0,4,331,15060203,"2000-11-29T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1136",0,4,331,15060203,"2001-06-14T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1137",0,4,331,15060203,"2001-01-23T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1138",0,4,331,15060203,"2001-08-29T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1139",0,4,331,15060203,"2001-11-28T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1140",0.05,4,331,15060203,"2004-11-18T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1141",0.2,4,331,15060203,"2004-08-27T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1142",0,4,331,15060203,"2004-03-29T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1143",0.03,4,331,15060203,"2004-06-24T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1144",0,4,331,15060203,"2003-10-29T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1145",0,4,331,15060203,"2003-06-25T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1146",0.6,4,331,15060203,"2005-01-27T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1147",0.05,4,331,15060203,"2005-04-28T00:00:00Z","Total",84.58,0,0.01,0,34.2764207,-111.6387561,"USGS-09507980"
"1148",0.023,2,270,14010001,"2015-07-23T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1149",0.01,2,270,14010001,"2015-07-23T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1150",0.012,2,270,14010001,"2015-06-17T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1151",0.007,2,270,14010001,"2015-06-17T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1152",0.006,2,270,14010001,"2008-10-08T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1153",0.008,2,270,14010001,"2008-10-08T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1154",0.015,2,270,14010001,"2012-03-20T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1155",0.005,2,270,14010001,"2012-03-20T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1156",0.005,2,270,14010001,"2008-02-21T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1157",0.008,2,270,14010001,"2008-02-21T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1158",0.015,2,270,14010001,"2008-08-13T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1159",0.009,2,270,14010001,"2008-08-13T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1160",0.069,2,25.6,14010001,"2007-03-20T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1161",0,2,25.6,14010001,"2007-02-15T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1162",0.009,2,25.6,14010001,"2007-02-15T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1163",0,2,25.6,14010001,"2000-07-19T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1164",0.004,2,25.6,14010001,"2000-07-19T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1165",0,2,25.6,14010001,"2006-01-24T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1166",0.007,2,25.6,14010001,"2006-01-24T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1167",0.003,2,25.6,14010001,"2006-04-05T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1168",0.105,2,25.6,14010001,"2006-04-05T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1169",0.009,2,25.6,14010001,"2011-12-20T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1170",0.026,2,25.6,14010001,"2011-05-16T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1171",0,2,25.6,14010001,"2007-12-05T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1172",0.01,2,25.6,14010001,"2007-12-05T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1173",0.005,2,25.6,14010001,"2006-02-22T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
